created_at,text
2021-12-03 2:00:20,"Since the #Warriors-#Suns game will be national televised and the #Lakers-#Clippers game is not, mention a @Lakers/… https://t.co/bT74ITh8DS"
2021-12-03 1:57:23,"📣 New Podcast! ""S.2 Ep.5: Contenders or Pretenders?"" on @Spreaker #basketball #bucks #bulls #hawks #hornets #lakers… https://t.co/stUfJyBnGa"
2021-12-03 1:56:06,Los Angeles #Lakers' LeBron James clears NBA's COVID-19 protocols after two negative tests -… https://t.co/qJA995DgRO
2021-12-03 1:55:33,DAJ on bench and Bradley should not play. Let’s see how it goes #Lakers https://t.co/4imCneF9pJ
2021-12-03 1:46:21,the drama surrounding Lebrons Covid tests is riveting tbh #lakers
2021-12-03 1:46:18,RT @DrRobertKlapper: #Lakers. Forget the Ring this Year Jack… Let’s Just Beat the Clippers! https://t.co/wCr3Bs4Jn7
2021-12-03 1:44:10,LeBron James is cleared to play Friday against the LA Clippers. Let's see if the Lakers can put a nice streak together.  #LakeShow #Lakers
2021-12-03 1:41:32,"RT @English_AS: The King is back! 🔥🏀

#nba #lebronjames #lakers https://t.co/8bdwGIHlzL"
2021-12-03 1:41:22,"RT @JamesWorthy42: Thx to @Ballislife for putting this together 
 
@RooshWilliams @Zaknoble 
#lakers #showtime #nba #lakeshow #lakersnation…"
2021-12-03 1:41:02,"The King is back! 🔥🏀

#nba #lebronjames #lakers https://t.co/8bdwGIHlzL"
2021-12-03 1:39:56,"@ESPNNBA PUT THE #Lakers ON TOMORROW NIGHT!!!!!!!!!! 
@espn PUT THE #Lakers ON TOMORROW NIGHT!!!!! 
@ESPNNBA PUT TH… https://t.co/yP28dEtYiA"
2021-12-03 1:37:31,"@usatodaysports #LebronJames = #LeGone

Even the #Lakers don’t want to deal with this man anymore..

@KingJames https://t.co/wS2sroewoZ"
2021-12-03 1:23:49,@DwightHoward  STOP PLAYING WITH PEOPLE AND GO CRAZY !!! YOU KNOW WHAT YOU DO ON THAT COURT. BRING THAT MINDSET THR… https://t.co/fH963wFjew
2021-12-03 1:22:39,I also liked him when he coached the #Lakers  🤣🤣🤣 https://t.co/HSNLAdnl73
2021-12-03 1:22:18,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 1:18:26,Any update on how close Nunn is to returning? #lakers https://t.co/jywwmCwXDq
2021-12-03 1:17:36,"Rare Artwork Emerges From the Covid Pandemic to a Blue-Chip Auction House https://t.co/WzSjEAm8Ji 
#KobeBryant… https://t.co/8NanKrNQj9"
2021-12-03 1:16:00,"#LeBron out of COVID-19 protocols, cleared to return. https://t.co/HOZvKrThh4 #NBA #Lakers"
2021-12-03 1:13:29,"RT @SnowBlueSC: SnowBlue X Lakers 🏀
#NFTs #NFT #NFTCommunity  #Lakers #NFTGame #nftcollectors #NBA #LeBronJames #NBA2K22 #Airdrops #Solana…"
2021-12-03 1:11:47,Love Caruso. Thank you #Lakers #Bullsnation https://t.co/4Pdj5xrSfG
2021-12-03 1:11:05,#Bulls really got a squad. Crazy it’s made up of dudes who were #Lakers or wanted to be a Laker.
2021-12-03 1:06:25,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 1:03:49,"Nike LeBron 18 “Best of 1-9 Light Blue”
Size 8 Mens shoe ($200), St. Lucia Tee medium ($10), Tye Dye shirt small ($… https://t.co/ADh1Tl7bHi"
2021-12-03 1:01:39,RT @MooreHoops727: Getting closer. I think as long as Ariza can still play defense it's going to go a long way in helping to unlock this te…
2021-12-03 0:59:21,https://t.co/wktTh0nYXM #NBA: #Lakers Could Land Buddy In Blockbuster 3-Team Trade Involving Ben Simmons And Russel… https://t.co/11zK9dQa68
2021-12-03 0:58:50,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 0:58:29,"RT @bushidosnft: Warriors, are you ready to claim your blade? Prepare for the Day of the Daitō. December 15th-20th.… https://t.co/9g3cIlF2ae"
2021-12-03 0:58:00,"LeBron James cleared to return for Lakers' game vs. Clippers  #NBA
 #Lakers #LakeShow #laclippers https://t.co/rDBT9pO12n"
2021-12-03 0:56:19,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 0:55:54,RT @hannah_kulik: NEW PODCAST‼️: Should Dwight Be Lakers Starting Center?! https://t.co/wkIJKWiRBs #Lakers 💜💛💜💛
2021-12-03 0:55:00,The #Lakers could use Love or TT coming off the bench. 🤔…trade deadline maybe
2021-12-03 0:48:51,"RT @JamesWorthy42: Thx to @Ballislife for putting this together 
 
@RooshWilliams @Zaknoble 
#lakers #showtime #nba #lakeshow #lakersnation…"
2021-12-03 0:39:27,"RT @bet_odds: JUST IN: #LeBron James (abdominal) probable Friday.

#NBA #Lakers https://t.co/ciO6bveMXY"
2021-12-03 0:39:25,Good. Stu Lantz and Bill Macdonald on Spectrum are way better than espn announcers anyway #Lakers https://t.co/fBJl4g3cjN
2021-12-03 0:39:01,"RT @bet_odds: JUST IN: #LeBron James (abdominal) probable Friday.

#NBA #Lakers https://t.co/ciO6bveMXY"
2021-12-03 0:37:51,"Rare Artwork Emerges From the Covid Pandemic to a Blue-Chip Auction House https://t.co/WzSjEADK7S 
#KobeBryant… https://t.co/xG0qXfhnkF"
2021-12-03 0:37:12,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 0:36:53,"Damn, so this is what it feels like hu, #lakers in 5 https://t.co/9ctcz1wHwf"
2021-12-03 0:30:49,As A LBJ Fan Since 2003 I'm Just Glad My Nigga @KingJames 👑🏀📺🇨🇦🍁Is Back &amp; Healthy As I Listen Two My Favorite… https://t.co/eEjZ0SXlgn
2021-12-03 0:25:57,"Kyrie for Dame #Blazers (30%)
Kyrie for Russ #Lakers (30%)
Kyrie for Wall #Rockets(30%)
Kyrie for Kemba #Knicks  (10%) 

🤔"
2021-12-03 0:25:26,"#Lakers FOLLOW TRAIN!

Fans of the #LakeShow  that follow back:

• LIKE/RETWEET THIS TWEET
• COMMENT “IFB”
• LIKE E… https://t.co/J0zOTFsBIG"
2021-12-03 0:17:51,RT @Zmtboyz: Which is more impressive? Lebron James beating covid in 2 days or Magic Johnson beating AIDS in the 90’s? #nba #LakeShow #Lake…
2021-12-03 0:16:41,LeBron is a GO for tomorrow night against the @LAClippers #TheFredoReport #Lakers #LeBronJames https://t.co/PuEhh15N5V
2021-12-03 0:15:07,RT @JamesLefortnite: @mcten @wojespn LeBron beating the covid diagnosis and cleared to play Friday against the Los Angeles clippers like….…
2021-12-03 0:09:44,"#Lakers superstar PF-C Anthony Davis has a sprained left thumb, questionable for tomorrow's game."
2021-12-03 0:07:19,LeBron James has been cleared by the @Lakers after testing NEGATIVE multiple times. He is good to go for tomorrow n… https://t.co/z63p29MaqE
2021-12-03 0:05:01,Which is more impressive? Lebron James beating covid in 2 days or Magic Johnson beating AIDS in the 90’s? #nba #LakeShow #Lakers
2021-12-03 0:00:32,lol lebron playing tomorrrow! but are they going to switch back to @espn #Lakers
2021-12-02 23:55:07,How could this happen?  I thought he and everyone was fully jabbed 😂 #LeBronJames #lakers #covAids #lol #scam… https://t.co/gGUmFOGVDH
2021-12-02 23:55:06,I wonder if the NBA gone give Lebron his tv Game Back #Lakers #NBA https://t.co/DEOnNC9V0p
2021-12-02 23:54:08,RT @JamesLefortnite: LeBron beating the covid diagnosis and cleared to play Friday against the Los Angeles clippers like…. #leCleared #leCo…
2021-12-02 23:52:01,"LeBron James cleared to play after being in COVID protocol #LeBronJames #NBA
 #Lakers #LakeShow  https://t.co/mv73NLqy4q"
2021-12-02 23:50:32,lebron james tweets “something fishy going on” and now hes clear to play against the clippers the next 😂😂😂😂😂😂😂 LEGOATED #nba #covid #lakers
2021-12-02 23:48:59,The whole @WashWizards   Team .Staff and Players for fleecing the #lakers  for a Ready Made Playoffs Squad in… https://t.co/PKxyMvHAB4
2021-12-02 23:46:00,"JUST IN: #LeBron James (abdominal) probable Friday.

#NBA #Lakers https://t.co/ciO6bveMXY"
2021-12-02 23:45:32,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
